Date,Close,High,Low,Open,Volume
1992-02-01,7.6875,8.25,6.875,7.125,14922400
1992-03-01,8.0,8.8125,7.5625,7.625,9529600
1992-04-01,7.25,7.9375,6.25,7.9375,7537200
1992-05-01,6.84375,8.5625,6.59375,7.375,7208800
1992-06-01,7.0,8.375,6.1875,6.8125,8899200
1992-07-01,6.5,7.0,5.5625,6.9375,15638800
1992-08-01,6.25,6.5625,5.75,6.5,15734800
1992-09-01,7.375,7.4375,6.125,6.25,22660000
1992-10-01,7.5625,8.25,6.375,7.25,21548400
1992-11-01,7.8125,8.875,7.5,7.5,12860400
1992-12-01,8.65625,8.84375,7.4375,7.75,12378000
1993-01-01,8.4375,9.625,8.0,8.625,17267200
1993-02-01,8.0,8.8125,7.1875,8.34375,14248400
1993-03-01,8.375,8.5625,6.4375,8.03125,19622400
1993-04-01,8.78125,9.1875,7.3125,8.4375,14874000
1993-05-01,10.125,10.5625,8.4375,8.8125,17381200
1993-06-01,11.375,11.75,9.3125,10.0,15035600
1993-07-01,12.1875,12.6875,10.1875,10.875,18376000
1993-08-01,12.0625,12.9375,11.75,12.3125,11854800
1993-09-01,11.875,12.875,11.1875,12.0,14121600
1993-10-01,12.875,13.1875,10.875,11.875,19402800
1993-11-01,11.3125,13.1875,10.8125,12.9375,14797600
1993-12-01,11.3125,12.4375,9.6875,11.3125,19396000
1994-01-01,11.28125,12.125,10.125,11.25,21422800
1994-02-01,11.21875,11.75,10.03125,11.125,18864000
1994-03-01,10.9375,11.6875,9.875,11.21875,21739200
1994-04-01,10.0,11.375,8.4375,10.5625,22463600
1994-05-01,9.46875,10.1875,8.6875,9.875,13989200
1994-06-01,9.375,10.9375,8.25,9.5625,16073200
1994-07-01,9.625,10.25,8.6875,9.375,13814400
1994-08-01,10.375,11.0,9.0,9.6875,17556800
1994-09-01,11.3125,12.1875,9.9375,10.0625,12672400
1994-10-01,11.53125,12.125,10.5,11.3125,22293600
1994-11-01,10.296875,11.75,10.25,11.375,8372400
1994-12-01,10.9375,11.5625,9.875,10.3125,16208800
1995-01-01,11.3125,12.625,10.6875,10.6875,21234000
1995-02-01,11.8125,12.5625,11.3125,11.3125,14699200
1995-03-01,11.9375,13.6875,11.6875,11.8125,17762800
1995-04-01,13.5625,13.9375,11.75,11.875,21227600
1995-05-01,13.5625,14.8125,12.9375,13.5625,21182400
1995-06-01,15.65625,15.6875,13.5625,13.6875,11822800
1995-07-01,16.125,16.8125,14.4375,15.6875,24756000
1995-08-01,14.5,16.625,14.3125,16.0625,15295200
1995-09-01,15.375,17.25,14.0625,14.375,15998600
1995-10-01,18.75,19.25,11.5,15.625,22217000
1995-11-01,17.25,19.0,16.375,18.5,11492600
1995-12-01,19.0,19.125,16.25,17.5,10794600
1996-01-01,14.625,18.875,13.75,18.75,21549600
1996-02-01,16.375,18.0,14.625,14.625,13662600
